S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
208,0,0,0,0,0,0.48,1,0.15,0.8,0.15,0,0.44,0,0.33,1.5,0,0,0.08,0,0.3,0,0.47,0,0,38
209,0,0,0.5,0,0,0,0.36,0,0.6,0.36,0.85,0,0,0,0,0,0,0,0,0.3,0,0,0.6,0,66
210,0,0.18,0,0,0.6,0,0.15,0.3,0.32,0.66,0,0,0,0.6,0,0,0,0.148,0,0,0,0,0,0,34
211,0,0,0,0,0,0,0,0,0,0.69,0.8,0.7,0,0.564,0,0,0,0,0,0,0,0,0,0,92
212,0,0.63,0,0,0.0356,0,0,0,0,0.31,0.7255,0.2,0,2.6,0.75,0,0,0,0,0.33,0,0,0,0,64
213,0,0.06,0,0,0,0,0,0,0,0.1,0.426,0.21,0,0.31,0.88,0,0,0,0,0,0.32,0.6,0,0,68
214,0.05,0,0,0,0.08,0,0,0,0.756,0.68,0,0.23,0,0.23,0,0,0,0,0,0,0,0,0,0,86
215,0,0,0.23,0,0,0.66,0.12,0.6,0.19,0,0,1.17,0,0.06,0,0.01,0,0,0,0.3,0,0,0,0,40
216,0,0.25,0,0,0,0,0.21,0.8,0.45,0.3,0.66,1.21,0,0,0.12,0,0,0,0,0,0,0.23,0,0,54
217,0,0,0.32,0.66,0,0.15,0,0.14,0.66,0.66,0.36,0,0,0.32,1.27,0,0,0,0,0,0,0,0,0,66
218,0,0,0,0,0.23,0.56,0,0.9,0.3,0,0.3,0.91,0,0,0.2,0,0,0,0,0.33,0,0.23,0,0,50
219,0,0.24,0,0,0.6,0,0.1,0.25,0.3,0.147,0,0.6,0,0.1,0.09,0.005,0,0,0,0,0,0,0,0.8,46
220,0,0,0.28,0,0,0.66,0.515,0,0,0.362,0,0,0.68,0,0.96,0,0.165,0,0,0,0.165,0,0.51,0,74
221,0,0,0,0.15,0,0,0,0,0,0.66,0.66,0,0,0,0.11,0,0,0,0,0,0,0,0.28,0,82
222,0,0.32,0,0,0,0,0.05,0,0,0,1.24,0,0,1.46,0,0,0,0,0,0,0,0,0,0,74
223,0,0,0,0,0,0.4,0.15,0.459,0.63,0,0.63,0.15,0,0,0,0,0,0,0,0,0.15,0.33,0,0,84
224,0.52,0,0,0,0,0,0.354,0.26,0.15,0,0.16,0,0,0.6,0.85,0.007,0,0,0,0,0,0,0,0,74
225,0,0,0,0.66,0,0,0.56,0.5,1.26,0,0.48,0,0,0,0.08,0,0,0,0,0,0,0,0,0,82
226,0,0,0,0,0,0,0.45,1.036,0.22,0.74,0.58,0.345,0,2.6,0,0,0,0,0,0,0,0,0,0,78
227,0,0.211,0,0,0,0.23,0,0.11,0,0,0,1,0,0.75,0,0.66,0,0,0,0.23,0.15,0.56,0,0.6,58
228,0,0,0,0.55,0,0,0,0,0,0.21,0.55,0.05,0,0.33,0.64,0,0,0,0,0.15,0.66,0,0.66,0,66
229,0,0,0.32,0,0,0.2,0,0,0,0.12,0,0.23,0,0,0,0.09,0.02,0.02,0.11,0.23,0,0.11,0.12,0,46
230,1.2,0,0,0.23,0,0,0,0,0,0.2,0.12,0,0,0,0,0.04,0,0.02,0,0,0,0,0.22,0.3,62
231,0,1.11,0,0.11,0.12,0,0,0,0,0,0.2,0.23,0,0.55,0.77,0.04,0.09,0,0,0,0.22,0.15,0,0,40
232,0.98,0,0,0,0.53,0,0,0,0,0.12,0.212,0,0.26,0.89,0,0,0,0.06,0,0.15,0.56,0,0.65,0,48
233,0,0.15,0,0.89,0,0,0.3,0.52,0.2,0,0.52,0.15,0,0.23,0,0,0,0,0,0,0.63,0.11,0.85,0,64
234,0,0,0,0,0.96,0.12,0,0,0,0,0.55,0,0,0,1.23,0,0.01,0,0,0.08,0,0,0,0.6,66
235,0,0,1.2,0,0,0,0,0,0,0,0,0.2,0,0.78,0.11,0,0.2,0,0,0,0.33,0,0,0.32,32
236,0,0.66,0,0.12,0,0,0,0,0.6,0.6,0,0.1,0.66,0,0,0,0,0.2,0,0.11,0,0,0.15,0,26
237,0.11,0,0.95,0,0.62,0.33,1.366,0.6,0,0,1.166,0.126,0.32,0,1.08,0,0.01,0.12,0,0.05,0.15,0,0.2,0.2,30
238,0,0.66,0,0.32,0,0,0,0,0,0,0.43,0.12,0,0.66,0,0,0,0,0,0,0,0.11,0.66,0,74
239,0,0,0,0.2,0,0.09,0,0,0,0,0,0,0,0,0,0.01,0,0,0.3,0,0,0,0.2,0,88
240,0,2.1,0,0,0,0.3,0,0.03202,0,0.6,0.6,0.3,0.12,0.2,0.201,0,0,0,0,0,0.2,0,0,0,58
241,1.2,0,0.3,0,0,0,0,0.6,0.85,0.78,0.25,1.02,0,0,0.3,0,0,0.23,0,0,0,0.01,0.3,0,20
242,0,0.58,0.66,0,0,0,0.66,0.12,0,0.6,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,66
243,0,0,0,0,0,0,0,0.32,0,0.51,0,0.33,0,0,0,0,0.07,0,0,0,0.6456,0.1,0,0,65
244,0,0,0.56,0,0.15,0.15,0.42,0.06,0,0,0.62,0,0.12,0.31,0,0,0,0,0,0.05,0,0,0,0,72
245,1.23,0,0,0,0,0,0.13,0,0.11,0.12,0,0.62,0,0.145,0.22,0,0,0,0,0,0,0,0,0,50
246,0,0.55,0,0,0,0,1.308,0.162,0.3976,0.4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,80
247,0,0,1.01,0.23,0,0.32,1,0,0,0.2015,0.5,1.12,0,0,0,0,0,0,0,0,0,0,0,0,40
248,1.2,0.13,0,0,0.1,0,0,0,0.262,0.023,0.12,0.23,0.1,0,0.27,0,0.01,0,0,0,0,0,0,0,74
249,0,0,0,0,0.6,0,0,0.015,0.0321,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,84
250,0,0,0,0,0,0.32,0,0.11,0.15,0.71,0.031,0.3,0,0.51,0.303,0,0,0,0,0,0,0,0,0,62
251,0.25,0,0,0,0.15,0,0,1.1906,0.662,0.021,0.216,0,0,0,0.32,0,0,0,0,0,0,0,0,0,78
252,0,0,1.2,0,0,0,0.33,0.6,0.321,0.051,0,0,0,0,0,0,0,0.08,0,0,0.15,0,0,0,38
253,0,0.3,0,0.15,0,0,0.6,0.3,0.12,0,0,0,0,0,0.14,0,0,0,0,0,0.001,0,0,0,82
254,0,0.12,0,0,0,0,0.03,0.2,0,0,0,0,0,0,0,0.12,0,0,0,0.005,0,0,0,0,72
255,0,0,0.3,0,0,0,0,0,0.342,0.12,0.1,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0,72
256,0,0.22,0,0,0,0,0.1,0.21,0,0.44,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,84
257,0,0,0.14,0,0,0.23,0,0,0.35,0,0.11,0.4,0,0,0.12,0,0,0,0,0,0,0,0,0,56
258,0,0,0,0,0,0.12,0,0,0.23,0,0.12,0.41,0.12,0,0,0,0,0,0,0,0,0,0,0,88
259,0,0,0,0,0,0.11,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
260,0,0,0.1,0,0,0,0.321,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.11,82
261,0,0,0,0,0,0,0,0,0.125,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,92
262,0,0.56,0,0,1.2,0,0.21,0.23,0.53,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,78
263,0,0,0,0,0,0.15,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,96
264,0,0.55,0,0,0,0,0,0,0.15,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,82
265,0,0,0.12,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,84
266,0,0,0.14,0,0,0,0.43,0,0.12,0.1551,0.772,0.3,0,0,0,0,0,0,0,0,0,0.1,0,0,64
267,0,0,0,0,0,0.15,0.252,0,0,0,0.32,0,0.12,0,0,0,0,0,0,0,0,0,0,0.12,88
268,0,0.15,0,0,0,0,0,0,0.22,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,88
269,0,0,0.02,0,0,0,0.12,0,0.12,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,88
270,0,0,0,0,0,0.33,0,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,88
271,0,0,0.23,0,0,0,0,0,0.23,0.1,0.15,0.13,0,0,0,0,0,0,0,0,0,0,0.04,0,76
272,0,0,0.3,0,0,0,0.18,0.3301,0.93,0,0.032,0,0,0,0.12,0.09,0,0,0,0.05,0,0.33,0,0.01,62
273,0,0,0,0,0,0,0.17,0.23,0.21,0,0.23,0,0,0,0.1,0,0,0,0,0,0,0.02,0,0,86
274,0,0,0,0,0,0.11,0,0,0.25,0.15,0.19,0.123,0,0,0,0,0,0,0,0,0,0,0,0,66
275,0,0,0.23,0,0,0,0.031,0.12,0.15,0,0,0.32,0.3,0,0,0,0,0,0,0,0,0,0,0,78
276,0,0,0,0,0,0,0.47,0,0.12,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,78
277,0,0,0,0,0.11,0,0.132,0,0.24,0,0.16,0.12,0,0,0.123,0.33,0,0.01,0,0,0.2,0.123,0,0,48
278,0,0,0.32,0,0,0,0.242,0,0.432,0.155,0.12,0.15,0.12,0,0,0.02,0,0,0,0,0,0,0,0,74
279,0,0,0,0,0.18,0,0.64,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,82
280,0,0,0,0,0,0,0.291,0,0.17,0.1232,0.515,0.7,0,0,0,0,0,0,0,0,0.015,0,0,0,74
281,0,1.2,0,0,0,0,0.26,0,0.12,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,74
282,0,0,0.4,0,0,0.15,0.41,0,0.23,0.23,0.2,0.012,0,0,0.52,0.123,0,0,0,0,0,0,0.009,0,58
283,0,0,0,0,0,0.23,0.4031,0,0,0,0,0.133,0,0,0,0,0,0,0,0,0,0,0,0,86
284,0,0,0,0,0,0,0.41,0,0.12,0,0,0,0.151,0,0.56,0,0,0,0,0,0,0,0,0,86
285,0,0,0,0,0.32,0,0,0.18,0.12,0.482,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,88
286,0,0,0,0,0,0.23,0.934,0,0.132,0,0,0,0,0,0.2152,0,0,0,0,0,0,0,0,0,84
287,0,0,0.3,0,0,0,0,0,0.71,0,0,0,0.1233,0,0,0,0.009,0,0,0,0,0.008,0,0,54
288,0,0,0,0,0,0.11,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.2,0,0,0,86
289,0,0,0.85,0,0,0.23,0.443,0,0.24,0,0,0,0,0,0.515,0,0,0,0,0,0,0,0,0,62
290,0,0,0,1.23,0,0.23,0,0.15,0,0.2,0.21,0.351,0,0.255,0.565,0,0,0,0,0,0.008,0,0,0,80
291,0,0,0,0,0,0,0.21,0,0,0,0,0,0.454,0,0,0,0,0,0,0,0,0,0,0,98
292,0,0,0.52,0,0,0,0,0,0,0.405,0,0.2,0.145,0,0,0.008,0,0,0,0,0,0,0.04,0,62
293,0,0,0,0,0.32,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.054,90
294,0,0,0.33,0.15,0,0.23,0.63,0,0.62,0.32,0,0.57,0,0,0,0,0,0,0,0.01,0,0,0,0,67
295,0,0.25,0,0.96,0,0,0,0.16,0,0.3733,0,0,0,0,0.12,0,0,0,0,0,0,0,0.85,0,78
296,0,0,0,0,0.45,0,0,0.33,0,0.23,0.583,0.1,0,0.23,0.48,0,0,0,0,0.23,0,0,0,0,80
297,0,0,0.12,0,0,0,0.85,0.23,0,0,0.38,0.62,0,0,0,0,0.04,0,0,0,0,0,0,0,56
298,0,0,0,0,0.63,0,0.52,0,0,0.415,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,52
299,0,0,0,0,0,0.4,0,0.62,0.26,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,88
300,0,0.36,0,0,0,0,0,1.2956,0.89,0,0.15,0,0,0.11,0.15,0.01,0,0,0,0.3,0,0,0,0,71
301,0,0,0.18,0,0.15,0,0,0,0,0.15,0.33,0.15,0,0,0.36,0,0,0,0,0,0,0,0.15,0,64
302,0,0,0,0,0,0.18,0.55,0,0.23,0,0,0.75,0,0,0.55,0,0,0,0,0,0,0,0,0,48
303,0,0,0,0,0,0.85,0,1.241,0,0,0,0.731,0,0.63,0,0,0,0,0,0,0,0,0,0,83
304,0,0.41,0,0,0,0,1.17,0,0.3,0,1.387,0,0,0.15,0,0,0,0,0,0,0,0,0,0,72
305,0,0,0,0,0,0,0,0.1251,0.66,0,0.36,0,0,0.67,0,0,0,0,0,0,0,0,0,0,84
306,0,0.23,0.36,0,0,0,0,0.5,0,0.36,0.8,0,0,0,0,0,0,0,0,0,0,0.8,0,0,58
307,0,0,0,0.15,0.63,0.21,0.15,0,0,0,0.1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,90
308,0,0,0,0.52,0,0,0.42,0,0,0,0.6,0,0.15,0,0.33,0,0.05,0,0,0,0,0.15,0,0,74
309,0,0,0,0.5,0.6,0.18,0,0,0.6,0,0.6521,0,0,0,0.63,0,0,0,0,0,0,0,0,0,84
310,0.9,0.6,0,0,0,0,0.41,1.51,0,0,0.652,0.3,0.32,0,0.12,0,0,0,0,0,0.01,0,0,0,66
311,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
312,0,0,0,0,0.25,0.36,0.15,1.18,0,0.15,0,0,0.233,0.18,0.11,0,0,0,0,0,0,0,0,0,84
313,0,0,0,0,0,0,1.01,0,0.15,0.81,0.33,0,0,0,0.25,0,0,0,0,0,0,0,0,0,84
314,0,0,0.52,0,0.15,0,0,0,0,0,0,0,0,0.15,0.32,0,0,0,0,0,0,0,0,0,72
315,0,0,0,0.41,0,0,0,0.6256,0.561,0,0,0.16,0,0,0.26,0,0,0,0,0,0,0,0,0,80
316,0,0,0,0,0,0.36,0,0,1.47,0,0.11,0,0.63,0,0,0.05,0,0,0.05,0,0,0,0,0,70
317,0,0,0,0,0.15,0,0.056,0.36,0.33,0,0.36,0,0.15,0,0,0,0,0,0,0,0,0,0,0,84
318,0,0,0.15,0,0,0.36,0.51,0,0.3,0.32,0,0.15,0.32,0.48,0,0,0.01,0,0,0.3,0,0.015,0.15,0,66
319,0,0.52,0,0,1.24,0,0.34,0.23,0.23,0,0.15,0,0,0,0,0,0,0,0,0,0,0.41,0,0,76
320,0.12,0,0.25,0,0,0,0.55,0.23,0.32,0.34,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,76
321,0,0.45,0,1.23,0,0,0.64,1.13,0,0,0,0.23,0,0,0.78,0,0,0,0.15,0.23,0,0,0,0,76
322,0,0.36,0,0,0.52,0,0.89,0,0.26,0.12,0.43,0.23,0,0.18,0.25,0,0,0.01,0,0.35,0,0,0,0,62
323,0,0.15,0,0,0,0.55,0.1,0.32,0.32,0.6,0.47,0,0,0.12,0.76,0,0,0,0,0,0,0,0,0,70
324,0,0,0.18,0,0.12,0,0.32,0.23,0.12,0.43,0.11,0.48,0.15,0.32,0.23,0,0.01,0.02,0,0,0,0,0.15,0,56
325,0,0.23,0,0,0.25,0,0.84,1.04,0,0,0,0,0,0,0.15,0,0,0,0,0,0.66,0,0,0,68
326,0.15,0,0.32,0.25,0,0,0.32,0.75,0,0,0.22,0.11,0.12,0.15,0.82,0,0,0,0,0,0.15,0,0,0,68
327,0,0.75,0,0,2.3,1.21,0.44,0.735,0,0.411,0,0,0,0,0,0,0,0,0,0.11,0,0,0.15,0,68
328,0.21,0,0.23,0,0,0,0.54,0.25,0.44,0.11,0.78,0,0,0.58,0.99,0,0,0,0,0.14,0,0.11,0,0,68
329,0,0.23,0,0.562,0.65,0.26,0.213,0.32,0.21,0.41,0,0.413,0,0.21,0,0,0,0.01,0,0.11,0.3,0,0.11,0.213,52
330,0.12,0.15,0.31,0,0,0,0,0.23,0.8,0.11,0.46,0.64,0,0,0.92,0,0,0,0.18,0,0,0.15,0,0,60
331,0,0,0,0,0.145,0.262,0.2,0.35,0.92,0,0,0.533,0,0.23,0.213,0,0,0.02,0,0,0,0,0,0,60
332,0.51,0,0.15,0.15,0,0,0,0,0,0,0.26,0.65,0,0,0.32,0,0,0,0,0,0,0,0,0,56
333,0,0.3,0,0,0.54,0,0,0,0.2,0.3,0,0.11,0.13,0.23,0,0,0,0,0,0,0,0.1,0,0,78
334,0,0.6,0,0,0,1.1,0.2,0,0.945,0,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0,0,74
335,0,0,0.562,1.21,0.156,0,0.3,0.844,0,0,0,0.12,0,0,0.33,0,0,0,0,0,0,0,0,0,60
336,0.15,0,0,0,0,0,0.1,0.11,0,0,0,0.32,0,0.23,0.3,0,0,0,0,0,0,0,0,0,58
337,0,0,0.62,0,1.23,1.32,0.11,0,0.23,0,0.43,0.21,0,0.15,0.35,0,0.01,0,0,0,0.15,0,0,0,64
338,0,0,0.6,1.2,0,0,0.385,0,0.52,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,72
339,0.56,0.15,0.11,0,0.32,0,0.25,0.44,0.23,0,0.42,0.12,0.13,0,0.44,0,0,0,0,0,0,0,0,0,66
340,0,0,0,0,0,0.41,0.23,0,0,0.15,0.23,0.44,0.23,0.12,0.11,0,0,0,0,0,0,0,0,0,56
341,0,0,0.62,0.65,1.21,0,0,0.26,0,0.21,0.32,0.23,0,0.3,0,0,0,0,0,0.01,0,0,0,0,58
342,0.56,0.15,0,0,0,0.45,0.614,0,0,0.11,0.4,0.2,0,0,0.132,0,0,0,0,0,0,0.2,0,0,76
343,0,0,0,0,0.15,0,0.29,0.23,0.55,0,0.23,0,0,0,0.67,0,0,0,0,0,0,0,0,0,82
344,0,0,0.3,0.85,0.52,0,0,0.33,0,0.15,0.33,0,0,0,0,0,0,0,0,0.15,0,0,0,0,74
345,0.41,0.66,0.6,0,0.15,0.65,0.11,0.232,0.15,0.32,0,0.3,0.32,0.12,0.15,0,0,0,0,0,0,0,0,0,58
346,0,0.62,0,0,1.21,0,0,0.443,0.626,0,0.11,0,0,0.32,0.266,0,0,0,0,0,0,0,0,0,70
347,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
348,0.15,0,0.3,0,0,1.65,0.75,0,0.45,0,0,0.5,0.12,0.32,0,0,0,0,0,0,0,0,0,0,74
349,0,0.15,0,0,0.6,0,0.216,0.15,0.91,0,0.36,0.2656,0,0,0,0,0,0,0,0,0,0.02,0,0,80
350,0,0,0.03,0.15,0.62,0,0,0.55,0.75,0.25,0,0.651,0,0,1.25,0,0,0,0,0,0,0,0,0,66
351,0,0.51,0,0,0,0.356,1.11,0,0,0,0.25,0.25,0,0.03,0,0,0,0,0,0,0,0,0,0,60
352,0.32,0.25,0,0,0.62,0.652,0,0.14,0.14,0,0.58,0.626,0,0,0,0,0,0,0,0,0,0,0,0,80
353,0.5,0.21,0.31,0.6251,0,0.44,0.876,0,0.11,0,0.15,0.252,0,0,0,0,0,0,0,0,0,0.35,0,0,70
354,0,0.125,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,92
355,0,0,0.2,0,0.45,0,0,0.35,0,0.12,0.224,0.05,0,0.75,1.63,0,0.085,0,0,0,0,0,0.2,0,56
356,0,0,0,0,0,0.41,0.32,0.15,0,0.15,0.26,0.66,0,0,0,0,0,0,0,0,0,0,0,0,78
357,0,0.133,0.3,0.74,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
358,0,0,0,0.3,0.54,0,0,0.22,0,0,0,0,0.25,0,0.45,0,0.055,0,0,0,0,0,0,0,76
359,0,0.52,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.12,0,82
360,0,0.13,0.6,0,0,0,0.32,0.11,0.15,0.22,0.36,0,0,0,0.11,0.01,0,0,0.11,0.2,0,0,0,0,64
361,0,0,0,0.32,0.11,0,0,0,0.66,0.11,0.32,0,0,0,0,0,0.01,0.03,0,0.01,0,0.12,0,0,56
362,0,0,0,0,0,0,0.15,0.5,0,0,0.3,0.1,0,0.32,0,0.02,0.021,0,0,0,0.15,0.13,0.32,0,64
363,0,0.15,0,0,0,0,0.27,0.58,0,0,0,0,0,0.12,0,0,0,0.01,0,0.01,0,0,0,0.52,74
364,0,0,0,0,0,0,0,0.45,0.46,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,86
365,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.6,0.015,0.15,0,74
366,0,0.74,0.11,0,0,0,0.685,1.11,0,0.15,0.44,0.25,0,1.261,0.37,0,0.001,0.005,0,0,0,0,0,0,54
367,0,0,0,0,0.15,0,0.15,0.55,0,0.23,0.32,0,0,0.32,0,0.01,0,0,0,0,0.22,0,0,0,76
368,0,0,0.32,0,0,0,0,0.32,1.11,0.14,0.15,0,0,0.11,1.31,0,0,0,0,0,0,0.62,0,0.62,64
369,0,0.6,0.32,0,0,0,0,0.28,1.23,0,0.62,0.11,0,0,0,0,0,0.06,0,0.11,0,0,0,0,44
370,0,0,0,0,0.65,0,0.22,0,0,0,0.372,0.35,0,0.826,1.84,0,0.05,0.005,0,0,0,0,0.66,0,56
371,0,0,0,0,0,0,1.18,0.65,0.55,0,0.62,0,1.25,0,0.23,0.3,0,0.008,0,0,0,0,0,0,54
372,0,0.77,0,0,0,0,0.11,1.7,1.37,1.06,0.78,0.12,0.615,0.15,0.15,0,0,0,0,0.52,0,0.616,0,0.15,52
373,0,0,0.221,0,1.52,0,0.52,0.32,0,0,0.12,0,0,0.62,0,0,0,0,0,0,0,0,0,0,74
374,0,0,0,0,0,0,0.66,0.25,0.55,0.15,0.25,0.65,0,0.302,1.76,0,0,0,0,0,0.21,0,0.55,0,56
375,0,0.62,0,0,0,0,0.2,0.55,0.15,0,0.3,0.25,0.62,0.82,0.15,0.06,0,0.008,0,0,0,0,0,0.16,62
376,0,0,0.12,0,0.55,0,0.15,1.8,0.51,0,1.27,0,0,0.36,0,0,0,0,0,0.566,0,0.62,0,0,70
377,0,0,0.12,0,0,0,1.22,0,0.15,0,0.6,0,0,0,2.451,0,0.02,0,0,0,0,0,0.51,0.15,64
378,0,0,0,0,0,0,0.6,0.15,0.52,0,0.63,0.65,0,0.51,0,0,0,0,0,0,0.12,0,0,0,60
379,0,0,0,0,1.55,0,0.36,2,0,0.415,0.84,0,0.52,0.25,0.15,0.05,0.01,0,0,0.66,0,0,0,0,60
380,0,0.626,0.22,0,0,0,0,0,0,0,0,0.63,0,0.84,0.51,0,0,0,0,0,0,0,0,0,68
381,0,0,0,0,0,0,0,0.18,0.23,0,0.11,0.15,0.626,0.48,0,0,0,0,0,0,0,0,0,0,80
382,0,0,0.2,0,0.5,0,0,0,0.14,0.15,0.88,0.11,0,0.99,1.21,0,0.05,0,0,0.61,0,0,0,0,58
383,0,0,0,0,0,0,0.15,1.22,0.48,0.15,0.65,0.65,0,0,0.14,0,0,0,0,0,0,0,0,0,58
384,0,0,0.25,0,0.22,0,0,0,0,0,0.48,0.15,0.6,0,0.4,0,0,0.15,0,0,0,0,0,0,30
385,0,0.6,0,0,0,0,0.15,0.15,0.83,0,0,0.25,0,0.55,1.09,0,0.32,0.15,0,0.165,0,0,0,0,8
386,0,0,0,0.15,0.66,0,0,0.63,0.52,0,0.56,0.621,0,0,1.01,0,0.15,0,0,0,0,0,0,0,46
387,0,0,0,0,0,0,0,0,0.15,0.11,0.6,0.74,0,0.15,0.55,0,0.22,0,0,0,0,0,0,0,42
388,0,0,0.55,0,1.2,0,0,0.52,0.66,0,0,0.51,0,0,0.45,0,0.05,0.05,0,0,0,0,0,0,26
389,0,0.56,0,0,0,0,0.32,0.76,0.31,0,0.47,0.25,0,0,0.45,0,0,0.041,0,0,0,0,0,0,52
390,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.55,1.441,0,0,0.01,0,0,0,0,0,0,72
391,0,0.48,0,0,0,0,0,0.22,0.15,0,0,1.2,0,0,0.32,0,0,0,0,0,0,0,0,0,46
392,0,0.6,0,0,0.62,0,0.33,0.95,0.582,0.63,0,0.63,0,0.15,0,0,0,0.23,0,0,0,0,0,0,54
393,0,0.262,0,0,0,0,0,0,1.32,0,0.15,0,0,0,0.94,0,0,0,0,0,0,0,0,0,72
394,0,0,0.12,0,0,0,0,0.26,0.26,0,0.62,0.69,0.32,0,0,0,0,0.051,0,0,0,0,0,0,32
395,0,0,0,0,0.62,0,0,1.17,0.55,0,0,0.15,0.15,0,0.51,0.15,0.23,0.085,0,0,0,0,0,0,20
396,0,0,0,0,0,0,0.15,1.203,0,0.33,0.176,0,0.5,0,0,0.15,0,0.051,0,0,0,0,0,0,28
397,0,0.25,0.32,0,0.623,0,0,0,0,0.25,0.22,0.66,0,0.51,0.74,0,0.021,0.1,0,0,0,0,0,0,24
398,0,0,0,0,0,0,0,0.156,0.15,0,0.85,0.36,0,0,1.12,0.05,0,0,0.36,0,0.51,0,0,0,50
399,0,0,0,0.25,0,0,1.43,0.78,0.15,0,0,0.63,0.15,0.51,0,0,0,0.23,0,0,0,0,0,0,24
400,0.36,0.15,0,0,0,0,0.88,1.5103,0.15,0.25,0.921,0,0,0.3,0.66,0,0,0.012,0,0.63,0,0.623,0,0,64
401,0,0,0.15,0,0,0.66,0,0,0.05,0.15,0.63,0,0,0,0.85,0.05,0,0,0.66,0,0,0,0,0.35,46
402,0,0,0,0,0,0,0.412,0.26,0.11,0.66,0,0.1,0,0,1.37,0,0,0.032,0,0.2,0,0,0,0,56
403,0.15,0.25,0.15,0,0,0,1.07,0.55,1.22,0,0.336,0,0,0,0.12,0,0.52,0,0.25,0,0.215,0,0,0.65,26
404,0,0,0,0.32,0,0,0,0,0,0,0.865,0,0,0.15,0.62,0,0.51,0,0,0,0,0,0,0,24
405,0,0.32,0,0,0,0,0.11,0.7,0,0,0,0,0,0,0.552,0,0.15,0.051,0,0,0,0.15,0.652,0,38
406,0.25,0,0,0,0,0,0,0,0.8,1.8326,0,0.7,0,0,0.6,0.15,0,0,0,0,0,0,0,0.15,42
407,0,0,0.25,0,0.66,0,0.566,0.62,0.15,0,0.55,0,0,0.54,0,0,0,0,0,0.515,0,0,0.15,0,58
408,0,0.74,0,0,0,0,0,0.4,0.65,0.125,0.66,0,0,0,0.6,0,0,0.05,0,0,0,0,0,0,46
409,0.15,0.25,0,0,0,0.15,0,0,0,0.77,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,72
410,0,0,0.25,0,0,0.55,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,80
411,0,0,0,0,0.36,0,0,0,0,0.26,0.17,0.6,0,0,0.52,0,0,0,0,0,0,0,0,0,64
412,0.52,0.52,0,0,0.65,0.85,0,0.32,0.16,0.32,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,46
413,0,0.52,0,0,0,0,0,0,0.32,0.52,0,0.15,0,0.085,0.52,0,0,0,0,0,0,0,0,0,74
414,0.61,0,0,0,0,0,0,0,0.46,0.26,0.35,0,0,0.63,0,0.01,0.1,0.04,0,0,0,0,0.32,0,44
415,0,0,0.6,0,0,1.65,0,0.15,0.526,0.32,0.063,0,0,0,0.5215,0,0,0,0,0,0,0,0,0,66
416,0,0,0,0,0,0,0,0.65,0.7,0.15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,66
